TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB,Y
45.9,46.1,39.46,39.4,70.87,70.6,77.1,77,75.64,60.74,45.83,46.23,69.5,16.31,166.4,-113.3,57.65,57.06,3.573,2.99,50.54,4.011,0.8766,268.1,214.7,3.6,3.1,35.8,31.3,80.1,86.9,6,38.4,2.8,108.2,28.1,56.1,57,55,8.877,3.633,8.971,20,0,111.8,108.2,129.5,96.9,6.4,6.7,40,0,100,33,48,56,46.35,60.56,67.74,47.48,46.93,54.55,85.76,176.2,eo1
46.23,46.4,39.74,39.8,70.83,70.6,76.97,76.8,75.55,60.78,46.12,46.44,68.67,15.88,165.3,-112.5,58.22,57.27,2.852,1.898,50.47,4.056,0.8669,268.4,215.5,4.4,3.3,35.4,30.9,80.1,86.9,5.8,38.4,3.1,108.6,28.7,56.5,57,55,13.73,5.687,8.971,20,0,111.6,108.2,129,96.9,6.2,6.6,35,0,100,33,48,56,46.08,60.6,67.78,47.72,47.21,53.09,68.44,175.4,eo1
46.39,46.6,39.91,39.9,70.92,70.8,77.1,77,75.68,60.94,46.28,46.64,69.18,15.89,164.9,-111.7,58.01,57.06,3.207,2.257,51.25,3.98,0.8834,268.6,214.7,4.6,3.3,35.4,30.8,80.4,87.4,6.1,38.4,3.1,109.2,28.8,56.5,58,56,11.96,4.917,8.86,20,0,111.3,108.2,128.5,96.6,6.2,6.7,35,0,100,33,48,56,45.81,60.6,67.86,47.97,47.42,52.53,76.97,175.7,eo1
46.47,46.6,39.87,39.8,71.08,70.9,77.3,77.3,75.8,61.02,46.28,46.68,70,16.89,166.3,-113.1,59.16,57.47,3.577,1.892,51.78,4.017,0.8753,270,214.9,4.4,3.7,35.4,30.9,80.7,88.4,6,38.4,3,108.8,28.5,57.3,58,56,13.67,5.554,8.86,20,0,111.3,108.2,130,98.1,6.4,6.8,35,0,100,33,48,56,49.54,60.6,67.57,48.01,47.5,58.14,85.84,176.7,eo1
46.39,46.4,39.87,39.8,71.16,70.9,77.42,77.3,75.92,61.06,46.28,46.64,70.21,16.83,166.6,-113.2,58.6,57.65,3.22,2.266,51.37,4.011,0.8765,269,215.5,4.2,3.1,35.6,31.1,80.4,87.4,5.8,38.4,3,109.2,28.3,57,58,56,10.57,4.281,8.86,20,0,111.3,108,128.5,96.9,6.2,6.6,35,0,100,33,48,56,49.27,60.6,67.7,47.97,47.5,56.93,77.27,175.9,eo1
46.39,46.4,39.78,39.6,71.16,71.1,77.42,77.5,75.96,61.06,46.28,46.64,69.72,16.26,165.9,-112.4,58.84,57.9,3.193,2.247,51.44,4.022,0.8741,267.2,213.8,4,3.5,35.8,31.3,81,88.4,6.3,38.5,3.1,109,28,57.5,58,56,13.2,5.383,8.86,20,0,111.3,108,128.5,96.6,6.4,6.6,35,0,100,33,48,56,49.01,60.6,67.62,47.97,47.42,55.64,76.63,173.9,eo1
46.35,46.4,39.74,39.8,71.12,70.9,77.38,77.3,75.96,60.98,46.2,46.56,70.08,15.88,167.7,-113.5,58.99,57.67,3.201,1.887,51.39,4.036,0.8712,268.6,214.3,3.8,3.1,35.8,31.3,80.4,87.4,6.1,38.4,2.8,109,28.6,56.8,58,56,12.38,5.023,8.86,20,0,111.1,108,129,96.9,6.2,6.6,35,0,100,33,48,56,48.74,60.6,67.78,47.89,47.42,53.12,76.81,176.2,eo1
46.35,46.3,39.74,39.8,71.16,70.9,77.47,77.3,75.96,61.06,46.2,46.52,70.67,16.83,167,-113.2,59.15,57.83,2.843,1.526,51.49,4.038,0.8706,269,214.8,4.2,3.7,35.6,31.1,81,88.4,6,38.4,2.8,109,28,57.3,58,56,10.99,4.423,8.86,20,0,111.1,107.7,129,97.1,6.4,6.5,35,0,100,33,48,56,48.47,60.6,67.74,47.89,47.38,56.6,68.23,175.9,eo1
46.39,46.4,39.78,39.8,71.16,71.1,77.38,77,75.92,61.02,46.2,46.56,70.39,16.52,168.6,-114.7,59.35,57.66,3.22,1.53,51.29,4.068,0.8642,271.5,215.6,4.4,3.4,35.3,30.9,80.7,87.9,6,38.4,3,109,28.3,57.1,58,56,12.45,5.032,8.86,20,0,111.1,107.7,128,95.9,6.1,6.6,35,0,100,33,48,56,48.2,60.6,67.7,47.89,47.34,55.89,77.28,178.7,eo1
46.39,46.4,39.87,40.4,71.24,72.8,77.26,76.4,75.92,61.02,46.24,46.6,67.89,15.09,168.1,-115.3,58.04,56.73,3.189,1.88,40.75,5.008,0.702,270.8,213.5,2.8,3.4,37.7,33,79.8,86.4,4.5,39.1,1.4,109.2,29.6,53.4,47,45,6.131,2.569,10.19,20,0,111.1,107.7,129,94,3.3,5.9,25,0,100,15,48,56,54.98,60.6,67.9,47.76,47.42,49.61,76.54,179.4,eo1
44.83,44.4,41.01,40.7,72.39,72,76.32,75.9,74.78,54.14,44.69,45.01,44.01,17.27,231.1,-204.4,34.04,32.73,2.828,1.518,39.99,2.993,1.175,268.8,213.7,3.8,2,36.9,32.2,77.9,83.4,3.8,39.9,3.2,118.5,40.4,51.2,46,44,4.958,3.204,10.32,20,0,111.3,107.5,127.5,94.5,3.9,3.7,20,0,100,15,48,56,54.84,60.64,65.9,45.35,45.41,78.93,67.88,230.8,eo1
43.73,43.4,40.07,39.8,71.69,71.4,75.7,75.4,74.04,53,43.7,43.9,44.91,18.65,235.6,-209.4,32.52,32.31,1.731,1.514,39.76,2.876,1.222,268.8,213.3,3.4,1.7,36.5,31.9,77.3,82.4,3.8,39.4,2.7,120.9,43.6,50.2,46,44,-3.802,-2.408,10.32,20,0,111.3,107.7,127,94.4,4,3.5,25,0,100,15,48,56,47.71,60.6,65.53,44.2,44.31,90.86,41.54,231.9,eo1
43.24,43.4,39.99,39.9,71.28,71.1,74.84,74.6,73.63,52.63,43.3,43.57,39.86,13.6,235.1,-208.9,28.81,29.32,2.452,2.962,37.73,2.684,1.31,268.7,212.8,2.7,1.7,37.4,32.7,76.3,80.9,3,39.6,2.6,123,46.7,48.4,44,42,-1.125,-0.8027,10.6,20,0,112,108,128,94.5,3.7,3.5,25,0,100,15,48,56,41.58,60.56,66.76,43.75,43.82,52.69,58.85,235.2,eo1
43.28,43.4,39.99,39.9,71.24,71.1,74.76,74.6,73.59,52.59,43.3,43.57,39.47,13.16,235.5,-209.2,29.3,29.45,2.463,2.61,37.71,2.732,1.287,269.2,213.7,2.3,1.4,37.4,32.7,76,80.4,3.2,39.8,2.2,123.2,47.2,47.2,44,42,1.942,1.399,10.6,20,0,112.4,108.2,127,93.3,3.5,3.5,25,0,100,15,48,56,41.44,60.56,67.08,43.75,43.82,48.44,59.1,235.5,eo1
43.16,43,39.87,39.8,71.28,71.1,74.8,74.7,73.63,52.47,43.21,43.41,39.59,13.21,238.1,-211.7,29.48,30,1.744,2.261,37.73,2.747,1.28,270,215.1,2.2,1,37.6,32.9,76,80.4,3,39.8,2,123.2,47.2,46.9,44,42,2.188,1.571,10.6,20,0,112.9,108.6,128,94.2,3.6,3.2,25,0,100,15,48,56,41.31,60.56,67.16,43.63,43.69,47.99,41.86,236,eo1
43.2,43.2,40.03,39.9,71.12,70.8,74.48,74.3,73.47,52.42,43.25,43.49,37.8,11.38,237,-210.6,28.3,28.81,2.105,2.62,36.85,2.7,1.302,270.3,214.4,2.5,1.2,37.6,32.9,75,79.4,2.2,39.9,2.2,124.2,49,46.5,43,40,3.445,2.592,10.89,20,0,113.1,109,128,93.7,3.3,3.1,25,0,100,15,48,56,37.17,60.52,67.16,43.67,43.69,41.09,50.53,237.5,eo1
43.32,43.4,40.11,40.1,71,70.6,74.35,74.3,73.3,52.47,43.34,43.57,37.7,11.81,234.1,-208.2,28.86,29.01,2.119,2.269,36.79,2.758,1.275,269.7,215.9,2.5,1.4,37.6,32.9,75.7,79.9,3.5,40.1,2.5,124.7,49,47,43,41,5.701,4.3,10.74,20,0,113.8,109.2,127,93,3.5,3.3,25,0,100,15,48,56,37.04,60.56,67.25,43.75,43.82,42.39,50.87,236.2,eo1
43.4,43.6,40.28,40.1,70.96,70.9,74.27,74.1,73.26,52.51,43.42,43.65,37.33,11.37,233.7,-207.8,28.08,28.23,2.117,2.267,36.81,2.683,1.311,270.3,215.6,2.4,1.6,37.7,33,75.7,79.9,3.7,40.1,2.4,125.2,49.2,47.5,43,41,4.294,3.272,10.74,20,0,114,109.6,128,93.8,3.2,3.5,25,0,100,15,48,56,40.91,60.52,67.25,43.83,43.9,40.58,50.82,237.6,eo1
43.52,43.6,40.36,40.2,70.96,70.8,74.27,74.4,73.26,52.55,43.5,43.78,37.26,11.35,232.9,-207,28.48,28.26,2.487,2.268,37.37,2.68,1.312,269.8,215.8,2.9,1.9,37.2,32.5,76.3,80.9,4.1,40.1,2.7,125.7,49.2,48.2,43,41,6.476,4.943,10.74,20,0,114.7,110.1,127,93.2,3.5,3.5,25,0,100,15,48,56,36.77,60.52,67.25,43.92,43.98,40.51,59.69,237.1,eo1
43.44,43.4,40.15,40.1,71.12,70.9,74.48,74.4,73.47,52.55,43.42,43.69,37.68,11.34,234.9,-208.6,29.54,29.32,2.484,2.265,37.31,2.784,1.263,269.5,215.5,3,1.9,37.1,32.4,76.3,80.9,3.5,39.9,2.8,125.2,49.2,47.9,43,41,8.7,6.567,10.74,20,0,114.9,110.5,128,94.6,3.5,3.3,25,0,100,15,48,56,40.64,60.52,67.21,43.83,43.9,40.71,59.62,235.8,eo1
43.4,43.4,40.19,40.1,71.12,71.1,74.48,74.4,73.47,52.55,43.42,43.69,37.78,11.37,235.5,-209.1,28.94,29.09,2.496,2.646,37.23,2.733,1.286,270.2,216.5,3.2,1.9,37.1,32.2,76,80.4,3.5,39.9,3,125.5,49.5,48.5,43,41,6.169,4.644,10.74,20,0,115.1,110.5,128,94.8,3.5,3.3,25,0,100,15,48,56,40.5,60.56,67.25,43.83,43.9,40.82,59.9,236.8,eo1
43.48,43.6,40.28,40.2,71.12,70.9,74.48,74.3,73.47,52.59,43.5,43.78,37.65,11.33,234.3,-207.9,28.73,28.88,2.477,2.626,37.31,2.707,1.299,269.3,214.9,3.1,1.9,37.1,32.4,76.3,80.9,3.8,39.9,2.7,125.5,49.4,48.4,43,41,5.957,4.5,10.74,20,0,115.3,111.3,127.5,93.8,3.5,3.4,25,0,100,15,48,56,40.37,60.56,67.29,43.92,43.94,40.43,59.45,236.1,eo1
43.52,43.4,40.28,40.2,71.2,71.1,74.52,74.4,73.51,52.63,43.54,43.78,37.17,11.32,234.1,-208.3,29.25,29.4,2.121,2.271,37.4,2.75,1.279,269.1,216,2.9,2.2,37.2,32.5,76.6,81.4,3.5,40.1,2.9,125.5,49.5,48.4,43,41,9.56,7.316,10.74,20,0,115.6,111.3,127,93,3.5,3.3,25,0,100,15,48,56,40.23,60.56,67.25,43.96,43.98,40.65,50.9,235.3,eo1
43.52,43.6,40.28,40.2,71.2,71.1,74.56,74.6,73.51,52.67,43.54,43.78,37.6,11.78,233.5,-207.7,29.13,29.28,2.112,2.262,37.38,2.74,1.283,268.9,215.2,3,1.7,37.2,32.5,76.3,80.9,3.9,40.1,2.7,125.2,48.9,48.2,43,41,7.595,5.744,10.74,20,0,115.7,111.3,102.4,93.8,3.7,3.4,25,0,100,15,48,56,40.1,60.56,67.29,43.92,43.98,42.02,50.7,235.2,eo1
43.52,43.4,40.28,40.2,71.2,70.9,74.6,74.6,73.51,52.71,43.5,43.78,38.09,12.25,233.2,-207.4,29.02,28.8,2.47,2.253,39.44,2.587,1.359,269.1,214.3,3.3,2.3,36.9,32.2,76.9,81.9,4.1,39.9,3,125.2,48.6,49.2,44,42,7.547,5.635,10.6,20,0,116,111.3,128,94.8,3.7,3.5,20,0,100,22.76,48.14,56,34,60.56,67.21,43.96,43.98,44.23,59.29,235.9,eo1
45.08,46.3,40.85,41,69.2,68.3,73.53,72.7,73.02,57.71,45.38,45.7,49.21,5.883,173.6,-130.3,37.64,40.34,2.824,5.521,42.41,3.12,1.127,272.2,213.5,5.2,3,36,31.4,75.7,79.9,4,39.9,4.1,121.2,45.8,49,50,48,1.755,1.014,9.8,20,0,116,111.6,125.6,93.4,4.6,5.3,15,0,100,39.31,48.97,56,22,60.52,68.35,45.68,45.58,18.03,67.77,209,eo1
47.78,48.5,41.34,41.2,68.09,67.9,74.19,74.4,73.38,62.5,47.88,48.2,68.52,9.047,122.3,-62.84,57.91,58.79,2.854,3.74,50.96,3.996,0.88,269.6,215.7,5.2,4,36,31.4,78.6,84.4,6.9,39.6,3.6,111.6,33.2,53,59,57,13.65,5.668,8.75,20,0,115.7,111.8,128.5,96.4,6.3,7.3,15,0,100,55.86,49.79,56,22,60.56,69.05,48.21,48.11,25.58,68.5,140,eo1
50.2,51.2,42.36,42.7,66.74,65.8,74.19,73.5,72.97,65.9,50.22,50.61,82.91,13.52,78.79,-9.396,70.35,70.5,3.586,3.736,55.38,4.466,0.7873,267.1,215.5,6.2,4.7,36.5,31.9,78.2,83.9,6.8,40.2,4,106.7,28.5,52.3,65,62,11.23,3.852,8.219,20,0,115.6,111.8,129,96.3,7.7,8.5,50,0,100,90,57,56,68.11,60.6,65.24,53.7,51.76,69.94,44.32,28.09,eo1
51.3,51.6,42.49,42.2,66.08,66.1,74.31,74.6,72.52,66.02,50.91,51.43,91.49,19.88,72.35,-0.738,78.91,75.4,4.674,1.158,59.31,4.678,0.7516,266.9,214.8,6.2,4.6,35.8,31.3,79.2,85.4,8,39.6,4,104.3,24.8,54.8,70,67,15.1,4.695,7.715,20,0,114.9,111.3,129.5,97.6,8.5,9.6,50,0,100,90,57,56,72.27,60.64,63.93,54.93,53.23,145.1,66.13,-11.26,eo1
51.18,51.2,41.71,41.4,66.53,66.5,75.34,75.6,73.38,66.51,50.62,51.23,98.08,21.75,76.62,-0.2833,84.44,79.48,5.385,0.4235,62.87,4.722,0.7445,267.5,213.9,5.6,5.4,35.8,31.3,81,88.4,8.2,39.1,3.3,103.5,22.5,57.1,74,71,14.88,4.316,7.328,20,0,114.5,111.1,129,96.2,8.9,9.7,65,0,100,90,57,56,85.43,60.6,63.93,55.71,53.52,156.8,59.07,-9.982,eo1
51.02,51.2,41.38,41.2,66.86,66.8,75.91,75.9,73.88,66.88,50.42,51.15,100.9,22.68,78.06,0.1733,86.93,81.54,6.559,1.168,62.84,4.864,0.7229,267.7,216.5,5.6,5.4,35.6,31.1,81.3,88.9,8.2,38.9,3.3,103.3,22.2,57.1,73,70,13.68,3.855,7.424,20,0,114,110.9,131.5,99.4,9.2,10,65,0,100,90,57,56,85.59,60.48,63.97,55.63,53.52,155.9,74.75,-11.95,eo1
50.98,51.1,41.34,41.2,66.94,66.8,75.95,75.9,73.92,66.88,50.46,51.15,99.8,22.54,78,-0.7349,86.4,81.78,6.151,1.528,63.22,4.805,0.7317,266,215.2,5.4,5.1,35.6,31.1,81,88.4,7.7,38.9,3.3,103.3,22.5,57,73,70,16.1,4.588,7.424,20,0,113.6,110.7,129.5,97.7,9.1,10.1,65,0,100,90,57,56,85.75,60.4,63.89,55.54,53.52,154.9,72.94,-12.88,eo1
50.98,51.1,41.3,41,66.9,66.8,75.95,75.9,73.92,66.88,50.38,51.15,100.5,22.59,78.2,-0.2817,86.66,81.31,6.876,1.526,63.38,4.807,0.7314,266.6,214.9,5.9,5.1,35.4,30.8,81,88.4,8,38.7,3.4,103.3,22.5,57.5,73,70,14.71,4.161,7.424,20,0,113.1,110.3,130.5,98.9,9.1,9.9,65,0,100,90,57,56,85.91,60.36,63.85,55.42,53.44,155.3,83.22,-10.63,eo1
50.89,50.9,41.26,41,66.86,66.7,75.95,75.7,73.88,66.84,50.34,51.06,100.8,23.02,78.1,-0.2827,86.67,81.66,6.538,1.532,63.11,4.829,0.7281,266.3,215.8,5.9,5.1,35.3,30.8,81,88.4,8.2,38.7,3.3,103.1,22.1,57.5,73,70,13.29,3.749,7.424,20,0,112.7,109.8,130,98.2,9.2,9.7,65,0,100,90,57,56,86.07,60.32,63.81,55.22,53.31,158.2,82.54,-12.14,eo1
50.85,50.8,41.18,41,66.82,66.5,75.91,75.7,73.83,66.8,50.34,51.02,101.4,23.15,78.54,-0.2844,87.12,82.48,6.177,1.534,63.5,4.824,0.7288,267.8,216.1,5.7,5,35.3,30.8,80.7,87.9,8,38.7,3.4,103.1,22.6,57.6,73,70,13.27,3.721,7.424,20,0,112.4,109.4,130,98.9,9,9.8,65,0,100,90,57,56,86.23,60.23,63.81,55.01,53.15,155.5,79.69,-13.43,eo1
50.77,50.9,41.13,41,66.7,66.4,75.79,75.6,73.63,66.63,50.26,51.02,100.9,23.94,77.69,-0.7376,86.24,81.63,6.873,2.258,63.49,4.776,0.7362,266.5,214.8,5.8,4.8,35.1,30.6,80.4,87.4,8.2,38.5,3.1,103.1,22.7,56.8,73,70,11.96,3.373,7.424,20,0,112.2,109.2,129,99.9,9.1,10,65,0,100,90,57,56,79.4,59.7,63.36,55.58,53.36,157.2,74.01,-13.49,eo1
50.69,50.8,41.05,40.7,66.53,66.5,75.66,75.6,73.51,66.51,50.17,50.94,102.2,24.15,78.36,-0.2846,86.07,81.46,6.859,2.254,63.48,4.767,0.7376,268.7,214.3,5.8,5.1,35.1,30.6,80.7,87.9,7.9,38.4,3.4,102.8,22.1,56.8,73,70,6.7,1.864,7.424,20,0,112,109,130.5,99.2,9.2,10.1,70,0,100,90,57,56,86.56,59.41,63.11,55.5,53.36,156.8,76.67,-10.65,eo1
50.61,50.8,41.01,40.7,66.45,66.4,75.54,75.4,73.38,66.39,50.05,50.86,100.7,23.89,77.53,-0.7354,86.51,81.49,7.292,2.274,63.33,4.803,0.7321,265.9,216.4,5.6,5.3,35.1,30.6,80.7,87.9,8.1,38.4,3.3,102.7,22.1,56.9,74,71,13.46,3.801,7.328,20,0,111.8,108.6,130,98.4,9.2,10.1,70,0,100,90,57,56,79.72,59.21,62.95,55.46,53.27,153.4,79.99,-13.57,eo1
50.53,50.6,40.89,40.7,66.33,66.1,75.42,75.2,73.3,66.3,49.93,50.74,101.3,23.58,77.99,-0.284,86.2,80.85,7.235,1.89,62.9,4.818,0.7297,267.5,214.7,5.6,5.2,35.1,30.6,80.1,86.9,7.8,38.4,3.1,102.7,22.6,56.9,73,70,9.866,2.77,7.424,20,0,111.3,108.6,129.5,98.4,9.1,9.9,70,0,100,90,57,56,73.88,58.96,62.78,55.42,53.19,148.1,77.91,-9.829,eo1
50.4,50.4,40.77,41,66.33,66.5,75.3,74.4,73.18,66.14,49.76,50.57,98.29,23.19,77.17,-2.075,86.29,80.58,7.243,1.526,53.41,5.68,0.619,263.1,214.9,4.3,4,36.7,32.1,78.6,84.4,6.4,38.7,2,102.5,24.1,52.3,61,59,11.24,3.253,8.534,20,0,111.3,108.4,129.5,97.1,8.1,9.4,20,0,100,50,48,56,73,58.8,62.7,54.93,53.07,142.7,93.45,-11.62,eo1
48.81,48.3,41.13,40.9,67.15,67,74.52,74.1,72.48,62.62,48.5,48.85,82.15,22.67,110,-50.5,68.9,66.11,3.22,0.4268,52.84,4.585,0.7669,267.6,215.6,4.5,4.1,36.2,31.6,78.2,83.9,6.4,39.1,3.1,104.3,25.9,53,60,58,6.276,2.173,8.641,20,0,111.1,108.2,127.5,95.1,7.3,7.6,25,0,100,50,48,56,73,58.55,62.37,49.48,49.55,142.5,77.29,106.7,eo1
47.33,47,39.82,39.6,66.7,66.4,74.03,73.1,72.12,61.84,47.27,47.46,81.59,21.27,114.4,-54.08,67.45,66.87,1.749,1.163,49.96,4.747,0.7407,267.2,215.6,2.9,3.5,36.5,31.9,76.6,81.4,6,38.4,1.7,103.7,26.9,50.2,57,55,0.2758,0.09616,8.971,20,0,110.9,108,128.5,96.3,6.7,7.6,30,0,100,50,48,56,66,58.27,62.09,47.97,47.95,133.7,41.99,111,eo1
47.09,47.5,40.68,40.9,65.43,65,71.69,71.1,70.31,60.86,47.14,47.46,69.83,15.37,105.4,-50.96,57.26,57.77,2.84,3.355,46.99,4.285,0.8206,267.6,214.6,5.1,3.3,35.8,31.3,74.4,78,5.4,39.2,3.8,104.5,30.1,47.3,53,51,2.773,1.129,9.433,20,0,110.7,108,126.1,94.2,6.1,6.8,25,0,100,50,48,56,53,58.1,62.54,47.89,47.79,83.2,68.17,121,eo1
47.25,47.3,40.6,40.4,65.35,65.3,71.77,71.4,70.31,60.82,47.27,47.5,71.83,16.32,106.1,-50.63,59.78,59.93,2.119,2.269,47.46,4.429,0.7939,268.2,215.8,4.2,3.9,36.2,31.6,75.3,79.4,6.3,39.2,3,103.9,28.8,47.3,54,52,5.083,2.013,9.315,20,0,110.5,107.7,127,94.6,6.1,6.9,30,0,100,50,48,56,53,57.98,62.87,48.01,47.91,80.21,50.86,116.8,eo1
47.13,47.2,40.44,40.4,65.39,65.3,71.81,71.5,70.44,60.9,47.1,47.42,71.93,15.43,106.7,-50.24,60.15,59.93,2.855,2.636,47.51,4.451,0.7899,268.6,215.8,3.7,3.8,36.5,31.9,75.3,79.4,6.3,39.2,2.7,103.7,28.4,47.5,54,52,6.078,2.403,9.315,20,0,110.5,107.3,129,96.4,6.2,7,30,0,100,50,48,56,53,57.94,62.87,47.89,47.75,75.18,68.52,117.8,eo1
47.05,47,40.32,40.1,65.35,65.1,71.77,71.5,70.4,60.86,46.98,47.26,71.55,15.35,106.2,-49.98,60.27,59.68,2.477,1.893,47.58,4.453,0.7895,267.2,214.9,3.8,3.6,36.3,31.7,75,78.9,6,39.1,2.8,103.5,28.5,47.2,54,52,7.896,3.139,9.315,20,0,110.5,107.5,127.5,94.9,6.3,6.9,30,0,100,50,48,56,53,57.86,62.7,47.76,47.66,76.06,59.45,117,eo1
46.88,46.8,40.19,39.9,65.31,65.1,71.73,71.4,70.31,60.74,46.82,47.09,71.78,15.85,107,-51.05,59.73,59.14,2.47,1.888,47.55,4.416,0.7961,268.1,214.3,3.6,3.9,36.3,31.7,75.3,79.4,6.6,39.1,2.8,103.3,28.2,47.5,54,52,5.175,2.051,9.315,20,0,110.5,107.5,128,95.9,6.3,6.9,30,0,100,50,48,56,53,57.86,62.66,47.6,47.5,79.23,59.28,119.9,eo1
46.76,46.8,40.07,39.9,65.22,65,71.65,71.4,70.27,60.65,46.73,46.97,71.73,15.39,107.4,-51.01,60.22,60,2.122,1.903,47.46,4.461,0.7881,267.9,216.1,3.6,3.6,36.3,31.7,75,78.9,6.4,38.7,2.5,103.3,28.3,47.3,54,52,6.955,2.757,9.315,20,0,110.3,107.5,126.6,95.1,6.4,6.9,30,0,100,50,48,56,53,57.74,62.58,47.48,47.42,76.25,50.92,118.2,eo1
46.64,46.8,39.99,39.9,65.14,65,71.53,71.2,70.19,60.57,46.65,46.89,71.53,14.98,107.7,-51.2,59.79,59.94,2.12,2.269,47.43,4.433,0.7932,268.9,215.9,3.9,3.8,36,31.4,75,78.9,6.3,38.7,2.4,103.3,28.3,47.5,54,52,6.157,2.448,9.315,20,0,110.5,107.1,127,94.6,6.4,6.9,30,0,100,50,48,56,53,57.69,62.7,47.35,47.3,71.82,50.87,119.3,eo1
46.64,46.8,39.99,39.8,65.1,65,71.45,71.1,70.15,60.57,46.65,46.89,70.78,14.46,106.8,-50.53,59.73,59.88,2.118,2.266,47.27,4.443,0.7913,267.7,215.6,3.7,3.9,36,31.4,75,78.9,6.1,38.7,2.5,103.3,28.1,47.3,54,52,8.433,3.389,9.315,20,0,110.3,107.3,128,95.4,6.1,6.9,30,0,100,50,48,56,53,57.61,62.66,47.35,47.3,68.77,50.82,117.7,eo1
46.68,46.8,40.03,40.1,65.1,65,71.45,71.1,70.19,60.57,46.69,46.93,70.66,13.99,107.1,-50.45,59.1,59.25,2.095,2.243,47.27,4.397,0.7997,267.3,213.4,4,3.5,36.2,31.6,75,78.4,6.4,38.7,2.5,103.3,28.1,47,53,51,6.62,2.664,9.433,20,0,110.3,107.1,127,94.6,6.1,6.6,30,0,100,50,48,56,53,57.53,62.7,47.4,47.3,64.91,50.29,119.5,eo1
46.68,46.8,40.03,39.9,65.06,64.8,71.36,70.9,70.07,60.53,46.65,46.89,70.46,14.49,106.6,-50.63,59.48,59.26,2.109,1.891,47.29,4.422,0.7951,268.3,214.7,3.9,3.8,36,31.4,74.7,78.4,6.1,38.5,2.5,103.3,28.6,47.6,54,52,8.697,3.511,9.315,20,0,110.3,107.1,126.6,94,6.1,6.9,30,0,100,50,48,56,50,57.41,62.5,47.4,47.3,68.35,50.61,119.1,eo1
46.64,46.8,40.07,40.1,65.06,64.8,71.32,71.2,70.11,60.53,46.65,46.89,70.17,13.61,107.3,-50.74,59.04,59.19,2.119,2.268,47.26,4.393,0.8003,268.9,215.8,3.9,3.8,36,31.4,75,78.9,5.7,38.7,2.7,103.3,28.7,47.6,54,52,8.152,3.305,9.315,20,0,110.1,107.1,128,96.1,6.2,6.9,30,0,100,50,48,56,50,57.33,62.66,47.35,47.3,61.23,50.86,120.6,eo1
46.68,46.8,40.07,40.1,65.02,65,71.32,71.1,70.07,60.53,46.69,46.89,70.51,14.04,106.7,-50.2,58.88,59.02,1.735,1.883,47.18,4.387,0.8014,268.4,213.9,4.3,3.6,35.6,31.1,74.7,78.4,6.4,38.7,2.7,103.3,28.6,46.7,54,52,6.29,2.537,9.315,20,0,110.1,106.9,128.5,95.3,6.1,6.9,30,0,100,50,48,56,53,57.29,62.58,47.4,47.3,63.67,41.64,119.9,eo1
46.68,46.8,40.11,40.4,65.06,65.6,71.2,70.3,70.03,60.45,46.65,46.89,69.07,13.2,107.7,-51.87,58.82,58.6,2.111,1.893,41.07,5.036,0.6982,270,215,3,3.2,37.4,32.7,73.5,76.5,4.5,39.2,2,103.5,29.8,44.3,48,46,5.029,2.071,10.06,20,0,110.1,107.3,126.6,93.2,4.7,6.3,25,0,100,22,47,56,56,57.12,62.54,47.35,47.3,58.51,50.67,123.1,eo1
44.38,43.8,39.87,39.4,66.86,66.8,71.49,70.8,69.74,54.06,44.28,44.47,52.02,19.65,176.3,-144,40.37,39.42,1.74,0.791,37.93,3.743,0.9394,269.9,214.4,2.9,2.3,36.7,31.9,72.8,75.5,3.4,38.9,2.4,109.2,36.6,44.1,44,42,-3.014,-1.648,10.6,20,0,110.1,106.9,126.1,93.2,4.1,4.4,25,0,100,22,47,56,73,57,60.57,45.02,45.04,131.9,41.77,209.6,eo1
43.61,43.6,39.87,39.9,65.72,65.3,69.56,68.9,68.27,53.08,43.62,43.86,43.44,14.64,171.5,-142.7,33.5,33.65,2.111,2.259,36.26,3.249,1.082,271,214.9,2.8,2.7,37.1,32.4,70.6,73.5,2.5,39.4,2.3,114,43.2,41.3,42,40,1.311,0.8584,10.89,20,0,110.3,107.3,126.1,93.2,3.9,3.7,25,0,100,22,47,56,53,56.75,60.65,44.2,44.18,90.06,50.65,217.8,eo1
43.44,43.4,39.82,39.6,65.18,64.8,68.91,68.4,67.77,52.71,43.38,43.65,41.73,12.69,168.8,-139.8,32.16,31.58,2.46,1.879,35.51,3.185,1.104,268.9,213.4,3.1,2.2,36.7,32.1,70.6,72,3.4,39.4,2.7,115.3,45,39.1,42,40,1.865,1.271,10.89,20,0,110.3,107.3,125.1,91.9,3.6,3.6,25,0,100,22,47,56,50,56.67,61.02,43.96,43.98,70,59.04,218.6,eo1
